date,floors ,bedrooms,sqft_living,sqft_lot,sqft_basement,yr_built,condition,grade,price
160322,1.5,2,1995,7405,1039,1926,0.833333333,0.6,255000
160830,2,3,2170,7405,792,1936,0.666666667,0.4,265000
160616,2,3,2038,6970,676,1933,0.833333333,0.6,299000
160923,2.5,6,3613,13504,1344,1935,0.833333333,0.6,480000
161202,1.5,3,1650,6098,1094,1932,0.666666667,0.4,225000
161205,2,4,2207,18295,997,1937,0.833333333,0.6,387000
160421,1.5,3,2117,6534,1135,1938,0.833333333,0.4,243000
160629,2,3,1789,7405,684,1925,0.666666667,0.4,188000
160223,1.5,4,3067,9148,1134,1932,0.833333333,0.6,422000
160822,2,4,2902,13068,962,1931,0.666666667,0.6,435000
161008,2,3,2332,11761,693,1932,0.833333333,0.6,352500
160415,1,3,1113,6534,1080,1938,0.666666667,0.6,275000
160316,1.5,2,1560,7405,1012,1938,0.833333333,0.4,138000
160412,1.5,3,1296,7841,744,1938,0.666666667,0.4,175000
160725,1.5,3,1563,6970,928,1939,0.666666667,0.4,215000
160629,1,3,1461,6970,0,1948,0.666666667,0.4,133000
160707,1.5,3,1500,6534,1066,1942,0.666666667,0.4,177000
160909,1.5,3,1709,7405,870,1938,0.833333333,0.4,240000
160418,2,3,2208,12632,1112,1921,1,0.6,380000
161026,1.5,3,1702,6970,940,1940,0.666666667,0.4,220000
160820,2,4,2636,9148,1118,1927,0.833333333,0.6,325000
160506,2,3,2812,10890,1216,1928,0.833333333,0.6,515000
160506,2,3,2812,10890,1216,1928,0.833333333,0.6,515000
160324,2,3,1615,6534,859,1932,0.666666667,0.6,257500
160803,2,4,1929,6534,948,1923,0.666666667,0.6,350000
161214,1,2,1077,6534,583,1940,0.833333333,0.4,206900
160505,2,4,2464,6534,1044,1930,0.666666667,0.6,395000
161027,2,3,1673,6970,867,1940,0.666666667,0.4,227225
161215,1,3,1372,6534,1020,1942,0.666666667,0.4,203000
160725,1,2,1408,9583,1058,1950,0.833333333,0.4,285000
160330,1.5,4,2392,12632,832,1941,0.5,0.6,223560
160302,2.5,4,2510,7841,957,1936,0.666666667,0.6,340000
161004,1,3,1274,10454,1266,1935,0.833333333,0.4,208000
160728,1,3,1458,13504,999,1950,0.833333333,0.4,205000
160915,1,2,1110,5227,1110,1955,0.666666667,0.4,149900
160404,1.5,3,1651,6098,1105,1935,0.833333333,0.4,210000
160822,1,2,1104,5663,1104,1928,0.833333333,0.4,152500
160413,2.5,5,7071,32234,2799,1927,0.833333333,1,575000
161215,1,3,1506,21780,966,1954,0.666666667,0.4,219900
160825,2,4,2921,47045,1288,1968,0.5,0.6,345000
160128,1,3,1320,20473,1320,1961,0.833333333,0.4,223500
